"","timeC","obsC","timeI1","obsI1"
"1",1967,15.9,1967,61.89
"2",1968,25.7,1968,78.98
"3",1969,28.5,1969,55.59
"4",1970,23.7,1970,44.61
"5",1971,25,1971,56.89
"6",1972,33.3,1972,38.27
"7",1973,28.2,1973,33.84
"8",1974,19.7,1974,36.13
"9",1975,17.5,1975,41.95
"10",1976,19.3,1976,36.63
"11",1977,21.6,1977,36.33
"12",1978,23.1,1978,38.82
"13",1979,22.5,1979,34.32
"14",1980,22.5,1980,37.64
"15",1981,23.6,1981,34.01
"16",1982,29.1,1982,32.16
"17",1983,14.4,1983,26.88
"18",1984,13.2,1984,36.61
"19",1985,28.4,1985,30.07
"20",1986,34.6,1986,30.75
"21",1987,37.5,1987,23.36
"22",1988,25.9,1988,22.36
"23",1989,25.3,1989,21.91
